state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural
AL,AUTAUGA,1001,DONALD J TRUMP,REPUBLICAN,19838.0,27770.0,urban,42.0021623206465
AL,BALDWIN,1003,DONALD J TRUMP,REPUBLICAN,83544.0,109679.0,urban,42.27909911392752
AL,BARBOUR,1005,DONALD J TRUMP,REPUBLICAN,5622.0,10518.0,rural,67.7896347015333
AL,BIBB,1007,DONALD J TRUMP,REPUBLICAN,7525.0,9595.0,rural,68.35260746236091
AL,BLOUNT,1009,DONALD J TRUMP,REPUBLICAN,24711.0,27588.0,rural,89.95150204110115
AL,BULLOCK,1011,JOSEPH R BIDEN JR,DEMOCRAT,3446.0,4613.0,rural,51.37438152831226
AL,BUTLER,1013,DONALD J TRUMP,REPUBLICAN,5458.0,9488.0,rural,71.23215734950112
AL,CALHOUN,1015,DONALD J TRUMP,REPUBLICAN,35101.0,50983.0,urban,33.69682555746719
AL,CHAMBERS,1017,DONALD J TRUMP,REPUBLICAN,8753.0,15284.0,urban,49.14803448779775
AL,CHEROKEE,1019,DONALD J TRUMP,REPUBLICAN,10583.0,12301.0,rural,85.73627303859325
AL,CHILTON,1021,DONALD J TRUMP,REPUBLICAN,16085.0,19310.0,rural,86.74472423985519
AL,CHOCTAW,1023,DONALD J TRUMP,REPUBLICAN,4296.0,7464.0,rural,100.0
AL,CLARKE,1025,DONALD J TRUMP,REPUBLICAN,7324.0,13135.0,rural,75.980335230132
AL,CLAY,1027,DONALD J TRUMP,REPUBLICAN,5601.0,6930.0,rural,100.0
AL,CLEBURNE,1029,DONALD J TRUMP,REPUBLICAN,6484.0,7227.0,rural,100.0
AL,COFFEE,1031,DONALD J TRUMP,REPUBLICAN,16899.0,22275.0,urban,47.195082886201654
AL,COLBERT,1033,DONALD J TRUMP,REPUBLICAN,19203.0,27886.0,urban,43.89468655838906
AL,CONECUH,1035,DONALD J TRUMP,REPUBLICAN,3442.0,6441.0,rural,80.94950105836105
AL,COOSA,1037,DONALD J TRUMP,REPUBLICAN,3631.0,5479.0,rural,100.0
AL,COVINGTON,1039,DONALD J TRUMP,REPUBLICAN,14586.0,17430.0,rural,69.65179398914339
AL,CRENSHAW,1041,DONALD J TRUMP,REPUBLICAN,4864.0,6617.0,rural,100.0
AL,CULLMAN,1043,DONALD J TRUMP,REPUBLICAN,36880.0,41851.0,rural,73.23955923687288
AL,DALE,1045,DONALD J TRUMP,REPUBLICAN,14303.0,19738.0,rural,50.888539531551615
AL,DALLAS,1047,JOSEPH R BIDEN JR,DEMOCRAT,12230.0,17864.0,urban,45.638977635782744
AL,DEKALB,1049,DONALD J TRUMP,REPUBLICAN,24767.0,29356.0,rural,90.13064450350869
AL,ELMORE,1051,DONALD J TRUMP,REPUBLICAN,30164.0,41030.0,rural,54.188366139994706
AL,ESCAMBIA,1053,DONALD J TRUMP,REPUBLICAN,10869.0,15910.0,rural,63.5115738928469
AL,ETOWAH,1055,DONALD J TRUMP,REPUBLICAN,35528.0,47728.0,urban,37.48348175811548
AL,FAYETTE,1057,DONALD J TRUMP,REPUBLICAN,7300.0,8766.0,rural,80.23316512963285
AL,FRANKLIN,1059,DONALD J TRUMP,REPUBLICAN,10376.0,12578.0,rural,70.36651526621247
AL,GENEVA,1061,DONALD J TRUMP,REPUBLICAN,10848.0,12545.0,rural,89.64165733482643
AL,GREENE,1063,JOSEPH R BIDEN JR,DEMOCRAT,3884.0,4775.0,rural,100.0
AL,HALE,1065,JOSEPH R BIDEN JR,DEMOCRAT,4663.0,7900.0,rural,89.16878172588832
AL,HENRY,1067,DONALD J TRUMP,REPUBLICAN,6607.0,9298.0,rural,87.75286094093168
AL,HOUSTON,1069,DONALD J TRUMP,REPUBLICAN,32618.0,46173.0,urban,33.80405132598698
AL,JACKSON,1071,DONALD J TRUMP,REPUBLICAN,19670.0,23636.0,rural,77.0173032483514
AL,JEFFERSON,1073,JOSEPH R BIDEN JR,DEMOCRAT,181688.0,325848.0,urban,9.833675539734415
AL,LAMAR,1075,DONALD J TRUMP,REPUBLICAN,6174.0,7193.0,rural,100.0
AL,LAUDERDALE,1077,DONALD J TRUMP,REPUBLICAN,31721.0,44339.0,urban,49.2951061924948
AL,LAWRENCE,1079,DONALD J TRUMP,REPUBLICAN,12322.0,16031.0,rural,91.28978712251376
AL,LEE,1081,DONALD J TRUMP,REPUBLICAN,42221.0,71449.0,urban,27.408717228397663
AL,LIMESTONE,1083,DONALD J TRUMP,REPUBLICAN,34640.0,49235.0,rural,57.60914208402793
AL,LOWNDES,1085,JOSEPH R BIDEN JR,DEMOCRAT,4972.0,6835.0,rural,100.0
AL,MACON,1087,JOSEPH R BIDEN JR,DEMOCRAT,7108.0,8723.0,rural,55.547268319970165
AL,MADISON,1089,DONALD J TRUMP,REPUBLICAN,102780.0,194767.0,urban,16.44151476504655
AL,MARENGO,1091,JOSEPH R BIDEN JR,DEMOCRAT,5488.0,10900.0,rural,69.31564179388405
AL,MARION,1093,DONALD J TRUMP,REPUBLICAN,12205.0,13807.0,rural,88.85495191057967
AL,MARSHALL,1095,DONALD J TRUMP,REPUBLICAN,33191.0,39655.0,rural,53.26868704243219
AL,MOBILE,1097,DONALD J TRUMP,REPUBLICAN,101243.0,183164.0,urban,20.019903195891516
AL,MONROE,1099,DONALD J TRUMP,REPUBLICAN,6147.0,10668.0,rural,79.04456389804058
AL,MONTGOMERY,1101,JOSEPH R BIDEN JR,DEMOCRAT,64529.0,99139.0,urban,10.491230058902264
AL,MORGAN,1103,DONALD J TRUMP,REPUBLICAN,39664.0,53722.0,urban,38.597372165034734
AL,PERRY,1105,JOSEPH R BIDEN JR,DEMOCRAT,3860.0,5230.0,rural,100.0
AL,PICKENS,1107,DONALD J TRUMP,REPUBLICAN,5594.0,9668.0,rural,100.0
AL,PIKE,1109,DONALD J TRUMP,REPUBLICAN,8042.0,13841.0,rural,51.67938235204718
AL,RANDOLPH,1111,DONALD J TRUMP,REPUBLICAN,8559.0,10837.0,rural,81.34246934054903
AL,RUSSELL,1113,JOSEPH R BIDEN JR,DEMOCRAT,11228.0,21329.0,urban,35.40899389955994
AL,ST. CLAIR,1115,DONALD J TRUMP,REPUBLICAN,36166.0,44441.0,rural,72.79676527938942
AL,SHELBY,1117,DONALD J TRUMP,REPUBLICAN,79700.0,114950.0,urban,22.944870184791245
AL,SUMTER,1119,JOSEPH R BIDEN JR,DEMOCRAT,4648.0,6291.0,rural,100.0
AL,TALLADEGA,1121,DONALD J TRUMP,REPUBLICAN,22235.0,35663.0,rural,55.81533825084153
AL,TALLAPOOSA,1123,DONALD J TRUMP,REPUBLICAN,14963.0,20991.0,rural,74.22625913110342
AL,TUSCALOOSA,1125,DONALD J TRUMP,REPUBLICAN,51117.0,90172.0,urban,25.508075784974523
AL,WALKER,1127,DONALD J TRUMP,REPUBLICAN,26002.0,31170.0,rural,74.08799964191397
AL,WASHINGTON,1129,DONALD J TRUMP,REPUBLICAN,6564.0,8876.0,rural,100.0
AL,WILCOX,1131,JOSEPH R BIDEN JR,DEMOCRAT,4048.0,5903.0,rural,100.0
AL,WINSTON,1133,DONALD J TRUMP,REPUBLICAN,10195.0,11284.0,rural,84.8921744812939
AK,DISTRICT 13,2013,DONALD J TRUMP,REPUBLICAN,4652.0,7713.0,rural,100.0
AK,DISTRICT 16,2016,JOSEPH R BIDEN JR,DEMOCRAT,4274.0,8118.0,rural,100.0
AK,DISTRICT 20,2020,JOSEPH R BIDEN JR,DEMOCRAT,4881.0,7497.0,urban,4.117179415130934
AZ,APACHE,4001,JOSEPH R BIDEN JR,DEMOCRAT,16460.0,35172.0,rural,74.06107553343215
AZ,COCHISE,4003,DONALD J TRUMP,REPUBLICAN,25934.0,60442.0,urban,36.30106740974221
AZ,COCONINO,4005,JOSEPH R BIDEN JR,DEMOCRAT,39430.0,73272.0,urban,31.466065570111812
AZ,GILA,4007,DONALD J TRUMP,REPUBLICAN,15005.0,27662.0,urban,41.06199973879135
AZ,GRAHAM,4009,DONALD J TRUMP,REPUBLICAN,7289.0,14995.0,urban,46.437399247716286
AZ,GREENLEE,4011,DONALD J TRUMP,REPUBLICAN,1571.0,3685.0,urban,46.5686855517364
AZ,LA PAZ,4012,DONALD J TRUMP,REPUBLICAN,2936.0,7458.0,rural,56.3277856410757
AZ,MARICOPA,4013,JOSEPH R BIDEN JR,DEMOCRAT,978457.0,2068144.0,urban,2.363799694900628
AZ,MOHAVE,4015,DONALD J TRUMP,REPUBLICAN,56914.0,104668.0,urban,22.963643811255533
AZ,NAVAJO,4017,DONALD J TRUMP,REPUBLICAN,18787.0,51767.0,rural,54.13824232891884
AZ,PIMA,4019,JOSEPH R BIDEN JR,DEMOCRAT,282457.0,520397.0,urban,7.523491144723406
AZ,PINAL,4021,DONALD J TRUMP,REPUBLICAN,80293.0,184974.0,urban,21.904622508449318
AZ,SANTA CRUZ,4023,JOSEPH R BIDEN JR,DEMOCRAT,10859.0,19556.0,urban,26.88317165752847
AZ,YAVAPAI,4025,DONALD J TRUMP,REPUBLICAN,76416.0,143221.0,urban,33.19717769258836
AZ,YUMA,4027,DONALD J TRUMP,REPUBLICAN,30226.0,69881.0,urban,10.429576349546107
